Tweet,Date
"Hey Rahul, donot take these ideas seriously. @RahulGandhi Donot do what your party is expert in. Mob violence. 
Massive triggering is happening. 

Bjp should arrest Rahul and others on if he triggers a mob for his political aspirations. They should pay the price in pain.",2024-10-15
"And the Floyd riots intensified it. 
Friends in Chicago told me the week the riots broke out, there were trucks laden with MS-13 members, just waving weapons around as they drove through black neighborhoods. And vice-versa.
Puts the Summer of Love fatalities in perspective.",2024-09-13
They having full war bang outs in my hood …  200 shots and up kids dying like 13 years old multiple gunshots to the head ….. the craziest nights you can think of without bombs … today you will see mainstream media speak only on the 3 cops that got shot! Prayers to all of them,2022-10-12
"VIDEO: Mob Stones, Sets Man Ablaze, Over Alleged Blasphemy

A mob has killed a member of a vigilante group in the Lugbe area of Abuja over alleged blasphemy.",2022-06-04
"This is weird. Violence doubled in many cities the day after civil unrest and the 3rd precinct was burnt by a mob in Minneapolis on May 28, 2020. I suppose we can debate causality, but to deny or be unaware of the reality? https://police1.com/george-floyd-protest/articles/man-sentenced-to-4-years-for-minneapolis-police-station-fire-nKd5RboPPFKRy53f/…
https://vox.com/22344713/murder-violent-crime-spike-surge-2020-covid-19-coronavirus…",2024-10-16
"You don’t seem to get the point of a critically enquiring approach to the past. Musk & other extremists propagate Great Replacement ideas & fanned the flames of the recent racist mob violence in Britain. They are intent on celebrating the ‘good things’ as you put it, in order to",2024-10-16
"Madness. Trans radicals punched @Riley_Gaines_. She is in police protection now … but you can see the mob mentality here at @SFSU. 
It boggles my mind that these students forget #WomensRightsAreHumanRights - and male violence is the bane of our existence.
The @NCAA required",2023-04-07
"It’s gang violence. Democrats have let this go on unabated. You’re being a disingenuous fool. 

STOP VOTING FOR DEMOCRATS",2024-02-14
"Dear West, do you not understand this domestic extremism problem you have allowed to fester for too long is going to lead to real violence? The mob thinks it owns the streets.",2024-01-16
"3/n The question that troubles me is why there is no individual who stands up to put a brake on mob violence. Why does no one say, ""Bhai mat maaro, mar jayega, maarna nahi hai, warna sab jail jayenge"". On the other hand everyone wants to get a blow in before the event ends >",2024-10-16
"Because the Indian state also knows how to govern Hindus. Hindus do not threaten mob violence to get what they want (Hindu mob violence is aggressively targeted by the State - see the Bajrang Dal or other such groups), are easily divided over verticals like caste, region or",2024-10-14
"The hood is awash in guns & gun violence, but almost no spree killings. Rampages against random civilians are almost always carried out by middle-class young white males, usually w/a recent history of SSRI use, who spend too much time online.",2022-05-27
"Not just Taliban-style flogging, West Bengal has seen 11 incidents (that we can find) of mob violence in the past 1 month. Beaten for supporting BJP, theft and more

This, while TMC's Mahua Moitra, Kalyan Banerjee etc grandstand in Parliament

Shameless.",2024-07-04
A video shows a huge mob goading on a fight between a black girl and a white girl near a shopping center in Long Beach in an area that has been plagued by crime in recent weeks.,2024-03-18
"Before 3 a.m., a victim was robbed and assaulted by 4-5 BM in #MplsDowntown. Victim was found outside the Saloon and was hospitalized with head injuries and was unresponsive. 
Two females were also with the suspects.
A bystander captured video of the assault.

#Swiftieapolis",2023-06-25
"Whose streets? A husband and his pregnant wife were mobbed and beaten by a group of youths proclaiming they ""own the streets"" in the Streeterville neighborhood of Chicago on Maythe  31. The woman was kicked in abdomen and suffered a miscarriage. Read:",2024-06-05
No statement by @HMOIndia on #Bahraich violence by Islamist mob,2024-10-14
